sample_id,platform,environment,scene,app_name,capture_file,label,notes,source_ip,destination_ip,transport_protocol,destination_port,protocol,dst_port,domain,flow_id,packet_count,byte_count,duration,is_background,filter_reason,source_group
Android_pinduoduo_000026,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.13.104.62,TCP,443,TCP,443,,267b834202e7347e,25,7754,8.078085,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000027,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,111.132.32.107,TCP,443,TCP,443,,9eb8151ae7b7c1fe,426,513646,28.525008,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000028,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.244.115,TCP,443,TCP,443,,84fba2541796c633,34,18143,0.389527,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000029,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,183.201.244.115,TCP,443,TCP,443,,3ebf7512399455d2,48,39054,0.185136,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000030,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,111.33.110.146,TCP,80,TCP,80,,2ce001df362c147f,8,2600,23.798035,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000032,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,240c:409f::3:0:359,TCP,80,TCP,80,,37951f1bb1359bb8,4,376,7.024022,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000033,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,240c:409f::3:0:359,TCP,80,TCP,80,,ac5e2be57ed49431,4,376,7.021169,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000034,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,114.110.97.97,TCP,80,TCP,80,,25d28d760687f82f,12,1197,3.433665,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000035,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,114.110.97.97,TCP,80,TCP,80,,a6d9019def975f81,14,3414,3.428684,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000036,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,114.110.97.97,TCP,80,TCP,80,,f2652c6c4667fb23,13,3156,3.43356,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000037,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8087:4:16:b::80,TCP,80,TCP,80,video4-1.pddpic.com,79c2a74d038d682b,6,564,31.065029,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000038,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,6fef3564bc965a2d,4,376,7.015636,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000039,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,863f95257e67b410,4,376,7.020559,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000040,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,5c2561b73ec58e55,4,376,7.020622,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000041,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,66563dd3cf14e90e,4,376,7.017656,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000042,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,e57aad374bd2703e,4,376,7.017367,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000043,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,493c41a05b4fa4a6,4,376,7.016989,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000044,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,e0141264a005cb35,4,376,7.016986,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000045,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,4614333ad4f9f1f4,4,376,7.016139,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000046,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,5054f4fc74bfa1a9,3,282,3.008425,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000047,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,933952f87bbf9f90,4,376,7.018483,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000048,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,7a194f19921a16d2,4,376,7.021776,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000049,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,4178997dec4418fa,4,376,7.023367,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000050,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,240c:409f::3:0:359,TCP,80,TCP,80,,ada39efd0750e14a,4,376,7.023372,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000051,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,8f2f9d9714a65754,4,376,7.017174,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000052,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,ed972375a376a599,10,1301,0.158655,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000053,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,7e604b14eff07934,4,376,7.019404,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000054,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,f073977cbcdcc51d,4,376,7.014452,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000055,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,cd838296365ee65a,4,376,7.02351,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000056,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,1327c5683ee13bad,4,376,7.016203,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000057,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,dce769e8a404df07,4,376,7.016027,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000058,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8c0c:310:901:3::72,2409:8900:9981:83f2:f0a2:c0b7:c623:ca1a,TCP,65219,TCP,65219,,9327c17a49a8ff60,3,246,0.000114,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000059,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,c8ef46a667e99223,4,376,7.010385,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000061,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,119.3.160.204,172.20.10.2,TCP,64482,TCP,64482,,9a7d8296fbb44797,4,229,59.871306,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000062,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,240c:409f::3:0:359,TCP,80,TCP,80,,a3db4c3153d700b1,4,376,7.021775,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000063,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,7ef591fd266cd0af,10,1045,0.161059,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000064,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:8ff0:e::,TCP,443,TCP,443,,85a69eee235e1a41,4,376,7.023222,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000066,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,240c:409f::3:0:359,TCP,80,TCP,80,,bfb45d417ea257fc,4,376,7.020149,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000067,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.2,103.213.5.44,TCP,20067,TCP,20067,,99660f7a5f6ae9c1,10,741,54.284053,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000068,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2402:4e00:1411:201:0:9964:ba21:5a41,TCP,80,TCP,80,,0bc34ddec3a73ec9,4,376,7.021771,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000069,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,9928479c3b967d53,4,376,7.020625,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000070,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,01a9c660f8db7564,4,376,7.01899,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000071,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2402:4e00:1411:201:0:9964:ba21:5a41,TCP,80,TCP,80,,03b68c9217a3a8ed,4,376,7.021559,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000072,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,25611b0f5563d7a5,4,376,7.012325,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000073,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,1ec75d73098b8713,4,376,7.018295,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000074,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2402:4e00:1411:201:0:9964:ba21:5a41,TCP,80,TCP,80,,2b51a462ea484634,4,376,7.012792,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000075,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,fe80::2db:7fff:fe61:fda8,fe80::e0bd:a0ff:fe0b:664,UDP,53,UDP,53,apm-a.pinduoduo.com,9ae7e543da6c1f40,2,230,0.059772,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000076,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,101.35.204.35,TCP,80,TCP,80,,3745c7d57e31be4a,10,1045,0.191049,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000077,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:3007::53,TCP,443,TCP,443,api.pinduoduo.com,22ebf20586cc29b3,4,376,7.022047,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000078,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:8ff0:d::,TCP,443,TCP,443,apm-a.pinduoduo.com,fbb89dfb63a76a9a,4,376,7.023287,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000079,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,36.152.46.3,TCP,80,TCP,80,,5cc82b2ff382275a,1506,1507201,37.72305,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000080,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:3007::53,TCP,443,TCP,443,api.pinduoduo.com,7a11533d21544c5e,4,376,7.016577,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000081,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:75b0:4e::37,TCP,443,TCP,443,api.pinduoduo.com,82cd4575528a0678,4,376,7.01997,false,target_domain_or_tls_dns_related,Android
Android_pinduoduo_000082,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,172.20.10.3,114.110.97.97,TCP,80,TCP,80,,042a2b425bc15d9c,12,1165,3.136358,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000083,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,2409:8900:9981:83f2:d8b5:cdb9:d640:2206,2409:8c1e:8ff0:e::,TCP,443,TCP,443,,fbdd66f8c75b7eed,4,376,7.017431,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
Android_pinduoduo_000084,mobile,direct,shopping,pinduoduo,pinduoduo.pcapng,shopping,retained_uncertain_for_review,20.205.69.80,172.20.10.2,TCP,60877,TCP,60877,,89572f2e016fc3e1,4,229,45.118402,unknown,encrypted_or_ip_only_flow_no_domain_observed,Android
