label,precision,recall,f1,support
browser,0.67590618336887,0.8408488063660478,0.7494089834515367,377
chat,0.42424242424242425,0.2661596958174905,0.3271028037383178,263
cloud,0.5987261146496815,0.6666666666666666,0.6308724832214765,141
download,0.5041666666666667,0.8461538461538461,0.6318537859007833,143
shopping,0.6153846153846154,0.6118546845124283,0.613614573346117,523
social,0.47198275862068967,0.5703125,0.5165094339622642,384
video,0.5723577235772358,0.4405506883604506,0.49787835926449797,799
